0 50 0.091602154 0.96875 0.086147286 0.972
0 100 0.09744863 0.953125 0.06555571 0.985
0 150 0.02737799 1.0 0.05727293 0.985
0 200 0.15024933 0.9375 0.05331431 0.986
0 250 0.10502674 0.96875 0.04853219 0.983
0 300 0.030279228 0.984375 0.03711433 0.989
1 350 0.14671642 0.953125 0.03829596 0.989
1 400 0.008101786 1.0 0.039643068 0.989
1 450 0.0016263044 1.0 0.041740507 0.989
1 500 0.020660337 0.984375 0.030460436 0.989
1 550 0.016471941 1.0 0.03639352 0.988
1 600 0.044441693 0.953125 0.033255775 0.99
2 650 0.012481641 1.0 0.033914343 0.989
2 700 0.09893928 0.984375 0.03562651 0.988
2 750 0.0028676712 1.0 0.037824675 0.99
2 800 0.008263479 1.0 0.034114346 0.99
2 850 0.009786162 1.0 0.034780204 0.989
2 900 0.0026675044 1.0 0.0367387 0.991
3 950 0.02607162 0.984375 0.029104687 0.988
3 1000 0.010103515 1.0 0.030655162 0.99
3 1050 0.0040520737 1.0 0.03291538 0.989
3 1100 0.027823154 0.984375 0.03241872 0.988
3 1150 0.0012434726 1.0 0.032966483 0.989
3 1200 0.054287843 0.984375 0.03348195 0.991
3 1250 0.008524781 1.0 0.03571109 0.989
4 1300 0.007009859 1.0 0.035794366 0.988
4 1350 0.011498905 1.0 0.034984525 0.988
4 1400 0.00047726042 1.0 0.035002053 0.991
4 1450 0.0019444871 1.0 0.03449137 0.989
4 1500 0.0039864844 1.0 0.036638163 0.989
4 1550 0.0048810914 1.0 0.037140105 0.988
5 1600 0.012211986 1.0 0.038372573 0.988
5 1650 0.0005235475 1.0 0.039409988 0.988
5 1700 0.0030680823 1.0 0.039466064 0.988
5 1750 0.00978444 1.0 0.037623752 0.989
5 1800 0.0058157425 1.0 0.0378104 0.989
5 1850 0.00034197987 1.0 0.038081814 0.989
6 1900 0.054689642 0.984375 0.03929389 0.988
